               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.013879,            0.004533,           0.0045398,             0.68192,             0.52253,             0.55594,             0.38096,            0.013334,           0.0048574,           0.0061578,            0.002255,            0.002255,            0.002255
                 120,            0.013779,           0.0044305,           0.0045904,             0.67477,             0.52562,             0.55749,             0.38383,            0.013317,           0.0048476,           0.0061849,           0.0022411,           0.0022411,           0.0022411
                 121,            0.013687,            0.004422,           0.0044259,              0.6784,             0.52196,             0.55974,             0.38482,            0.013297,           0.0048557,           0.0061302,           0.0022271,           0.0022271,           0.0022271
                 122,            0.013643,           0.0044989,           0.0044783,             0.70295,              0.5117,             0.56499,             0.39014,            0.013294,            0.004863,           0.0060436,            0.002213,            0.002213,            0.002213
                 123,            0.013814,           0.0045356,           0.0044409,             0.68781,              0.5159,             0.56516,             0.39044,            0.013315,           0.0048589,           0.0059997,            0.002199,            0.002199,            0.002199
                 124,            0.013593,           0.0045062,           0.0044129,             0.67221,             0.52263,             0.56598,             0.39129,            0.013288,           0.0048634,           0.0060256,           0.0021848,           0.0021848,           0.0021848
                 125,             0.01372,           0.0045265,           0.0045425,             0.62739,             0.55468,             0.56618,             0.39431,            0.013255,           0.0048536,           0.0060432,           0.0021706,           0.0021706,           0.0021706
                 126,            0.013582,            0.004471,           0.0043323,             0.64218,             0.54946,             0.56946,             0.39478,            0.013247,           0.0048464,            0.006014,           0.0021564,           0.0021564,           0.0021564
                 127,            0.013548,           0.0044152,           0.0042629,             0.65675,             0.54879,             0.56989,             0.39531,            0.013213,           0.0048386,           0.0059659,           0.0021422,           0.0021422,           0.0021422
                 128,            0.013594,           0.0044637,           0.0042869,             0.65431,             0.54962,             0.56787,              0.3942,            0.013197,           0.0048326,           0.0059602,           0.0021279,           0.0021279,           0.0021279
                 129,            0.013524,           0.0045801,           0.0042622,              0.6507,               0.553,              0.5697,             0.39734,            0.013207,           0.0048336,           0.0059218,           0.0021135,           0.0021135,           0.0021135
                 130,            0.013647,           0.0044539,            0.004209,             0.64719,             0.55533,             0.57243,             0.39716,            0.013219,           0.0048239,           0.0059071,           0.0020991,           0.0020991,           0.0020991
                 131,            0.013466,           0.0043356,           0.0040518,             0.65379,             0.55487,             0.57361,             0.39921,            0.013236,           0.0048252,           0.0058653,           0.0020847,           0.0020847,           0.0020847
